n_ops,correct,steps_settle,winding,contraction
2,False,12,0.6254830360412598,-0.06501761078834534
2,False,13,0.607811689376831,-0.06781808286905289
2,False,13,0.6078116297721863,-0.06781808286905289
2,False,13,0.6078116297721863,-0.06781808286905289
2,True,12,0.6237945556640625,-0.06715701520442963
2,False,12,0.6254828572273254,-0.06501761078834534
2,True,12,0.6237945556640625,-0.06715701520442963
2,True,12,0.6337951421737671,-0.0679873377084732
4,False,12,0.6359920501708984,-0.0661683902144432
4,False,13,0.6243106126785278,-0.06628471612930298
4,False,13,0.6230143308639526,-0.06475181877613068
4,True,13,0.6207650899887085,-0.0666520968079567
4,True,12,0.6155257225036621,-0.06731652468442917
4,False,12,0.6359920501708984,-0.0661683902144432
4,False,12,0.6201096773147583,-0.06628359854221344
4,False,12,0.6305785775184631,-0.06819421052932739
8,False,13,0.6186065673828125,-0.0662093535065651
8,False,14,0.6168239116668701,-0.06740836054086685
8,False,15,0.620208203792572,-0.06981506198644638
8,False,13,0.6217907071113586,-0.06707749515771866
8,False,12,0.631142795085907,-0.06763734668493271
8,False,13,0.6294600367546082,-0.06715764105319977
8,False,13,0.6275166869163513,-0.06666257232427597
8,False,13,0.6418091654777527,-0.06906893849372864
16,False,13,0.6293903589248657,-0.06754991412162781
16,False,14,0.6092166304588318,-0.06714092195034027
16,False,15,0.6060850024223328,-0.06817486137151718
16,False,14,0.6529316306114197,-0.06742434203624725
16,False,14,0.6304806470870972,-0.0678609237074852
16,False,13,0.6320696473121643,-0.06792397797107697
16,False,15,0.6356049180030823,-0.06597718596458435
16,False,14,0.6424065828323364,-0.06717971712350845
24,False,13,0.6387542486190796,-0.06876929104328156
24,False,15,0.6479065418243408,-0.06690052151679993
24,False,16,0.618274986743927,-0.06867408752441406
24,False,15,0.6448376178741455,-0.06559999287128448
24,False,16,0.6385599970817566,-0.06821339577436447
24,False,15,0.6447850465774536,-0.06747503578662872
24,False,15,0.651375412940979,-0.0692216008901596
24,True,15,0.6531680822372437,-0.06708290427923203
32,False,13,0.6672760844230652,-0.06552662700414658
32,False,15,0.6471236944198608,-0.06858973950147629
32,False,15,0.6153677105903625,-0.06751903146505356
32,False,15,0.6609019041061401,-0.06718733161687851
32,False,15,0.6523757576942444,-0.06773003190755844
32,False,14,0.646122395992279,-0.06673087924718857
32,False,14,0.6564168334007263,-0.06660648435354233
32,False,14,0.6703879237174988,-0.0676971822977066
48,False,13,0.6355229020118713,-0.0653945729136467
48,False,15,0.6304209232330322,-0.0661575198173523
48,False,15,0.6114214658737183,-0.06604351848363876
48,False,15,0.644108235836029,-0.06659293174743652
48,False,15,0.6305805444717407,-0.06569612771272659
48,False,13,0.6333931088447571,-0.06803527474403381
48,False,15,0.6170144081115723,-0.06697052717208862
48,False,15,0.6453840732574463,-0.06616991013288498
