n_ops,kind,seed,seq_len,accel_answer,orth_answer,accel_content,orth_content,exit_answer,settle_answer
4,track,0,24,12.786036491394043,-0.07856360077857971,7.978680610656738,-0.10463595390319824,15,16
4,track,1,24,11.242481231689453,-0.05873264744877815,8.248899459838867,-0.1470029503107071,12,14
4,track,2,24,11.226393699645996,0.027157464995980263,7.850930690765381,-0.06020985543727875,13,14
4,local,0,24,11.000651359558105,0.005983533803373575,7.946841716766357,-0.11847560107707977,13,15
4,local,1,24,10.720602989196777,-0.08236740529537201,8.358928680419922,-0.16658008098602295,12,13
4,local,2,24,11.13934326171875,0.022821564227342606,7.893093109130859,-0.0795324519276619,12,14
8,track,0,32,11.35082721710205,-0.020846141502261162,8.612128257751465,-0.09766010195016861,13,13
8,track,1,32,11.745016098022461,-0.09819000959396362,8.77053165435791,-0.13786204159259796,12,13
8,track,2,32,11.45203971862793,-0.1083034873008728,8.7484130859375,-0.1338222473859787,14,15
8,local,0,32,11.141575813293457,-0.00201381160877645,8.698890686035156,-0.10786136984825134,14,15
8,local,1,32,11.462940216064453,-0.04170167073607445,8.792008399963379,-0.14219778776168823,13,14
8,local,2,32,11.371539115905762,-0.03587454929947853,8.772128105163574,-0.14261014759540558,14,15
16,track,0,48,12.349771499633789,-0.13223174214363098,9.508169174194336,-0.1341371089220047,14,14
16,track,1,48,11.777323722839355,-0.13887853920459747,9.87717342376709,-0.1868887096643448,13,14
16,track,2,48,11.48874282836914,-0.11039210855960846,9.215376853942871,-0.1282406747341156,15,15
16,local,0,48,11.841561317443848,-0.045655738562345505,9.570775032043457,-0.13899195194244385,14,14
16,local,1,48,11.327424049377441,-0.025616444647312164,9.893503189086914,-0.18819770216941833,13,14
16,local,2,48,10.98692798614502,-0.002178891096264124,9.219158172607422,-0.1290283352136612,13,14
24,track,0,64,11.334465980529785,-0.12900382280349731,9.724113464355469,-0.1441844403743744,14,15
24,track,1,64,11.255318641662598,-0.08077837526798248,9.163558006286621,-0.13958269357681274,14,14
24,track,2,64,12.02256965637207,-0.02362128719687462,9.70433235168457,-0.13661204278469086,12,13
24,local,0,64,11.56658935546875,-0.05906905606389046,9.752450942993164,-0.1473662555217743,13,14
24,local,1,64,11.301915168762207,-0.09498906880617142,9.241055488586426,-0.1426660567522049,13,15
24,local,2,64,11.744706153869629,0.017488153651356697,9.7599458694458,-0.13863898813724518,12,14
32,track,0,80,10.862125396728516,-0.09564083814620972,10.078743934631348,-0.13965842127799988,17,17
32,track,1,80,11.45669174194336,-0.16471439599990845,9.686264991760254,-0.12293548882007599,15,15
32,track,2,80,11.698233604431152,-0.07029666006565094,9.793025016784668,-0.10575703531503677,13,14
32,local,0,80,11.170169830322266,-0.06167273968458176,10.085674285888672,-0.14104609191417694,15,15
32,local,1,80,10.831904411315918,-0.09922827780246735,9.72060775756836,-0.12310858815908432,13,14
32,local,2,80,10.805830001831055,-0.0043687717989087105,9.80107307434082,-0.10586464405059814,13,14
48,track,0,112,10.914162635803223,-0.06095019727945328,10.061543464660645,-0.025838274508714676,13,14
48,track,1,112,11.874391555786133,-0.1194029301404953,9.781530380249023,-0.10293298959732056,14,14
48,track,2,112,11.196525573730469,-0.08770915120840073,10.160767555236816,-0.13041943311691284,12,12
48,local,0,112,10.912454605102539,-0.015426871366798878,10.089437484741211,-0.028030069544911385,12,13
48,local,1,112,11.12091064453125,-0.0744580328464508,9.800971031188965,-0.09947429597377777,14,15
48,local,2,112,10.292637825012207,-0.012924213893711567,10.189398765563965,-0.13200734555721283,12,13
