n_ops,regime,winding
8,settle,0.6699044704437256
8,settle,0.6597766876220703
8,loop,0.6618409156799316
8,settle,0.6577902436256409
8,settle,0.6646884679794312
8,settle,0.6671959161758423
8,settle,0.6654109954833984
8,settle,0.6672551035881042
8,settle,0.6680412292480469
8,loop,0.6696312427520752
16,settle,0.6606582403182983
16,settle,0.659617006778717
16,drift,0.6597213745117188
16,settle,0.6572080850601196
16,settle,0.6625683903694153
16,settle,0.6602295637130737
16,loop,0.660390317440033
16,settle,0.6634882092475891
16,settle,0.6665977835655212
16,loop,0.6622514724731445
24,settle,0.6633807420730591
24,loop,0.6625834107398987
24,loop,0.663949191570282
24,loop,0.6584144234657288
24,loop,0.6634330749511719
24,loop,0.6623325347900391
24,loop,0.6622994542121887
24,loop,0.6656318306922913
24,loop,0.6672508716583252
24,loop,0.670176088809967
32,settle,0.6615890860557556
32,loop,0.6612723469734192
32,loop,0.6583896279335022
32,loop,0.6627458333969116
32,loop,0.6639217138290405
32,settle,0.6644806861877441
32,settle,0.6607804298400879
32,settle,0.6665486097335815
32,loop,0.6624621748924255
32,settle,0.6591617465019226
48,settle,0.6646077632904053
48,loop,0.6524478793144226
48,loop,0.6534766554832458
48,loop,0.6573686599731445
48,drift,0.6592767834663391
48,settle,0.6614132523536682
48,loop,0.6605810523033142
48,loop,0.6694398522377014
48,loop,0.6627666354179382
48,loop,0.6607019901275635
64,settle,0.6566331386566162
64,loop,0.6506322622299194
64,loop,0.6510233283042908
64,loop,0.6515530347824097
64,settle,0.6492813229560852
64,settle,0.6575119495391846
64,loop,0.6540907621383667
64,settle,0.6536388993263245
64,loop,0.6553425192832947
64,loop,0.6612034440040588
