n_ops,steps_settle,winding
4,12,0.6112668514251709
4,12,0.6438969373703003
4,12,0.6303160786628723
4,13,0.6286298632621765
4,12,0.6205987930297852
4,13,0.6353368163108826
4,12,0.6755081415176392
4,12,0.6256923675537109
8,12,0.6160001158714294
8,13,0.6381231546401978
8,13,0.6419700980186462
8,12,0.6155434846878052
8,12,0.6416933536529541
8,13,0.7200207710266113
8,12,0.6453097462654114
8,13,0.699702799320221
16,13,0.680512547492981
16,13,0.6225742101669312
16,13,0.6365030407905579
16,13,0.6237092018127441
16,13,0.6197795271873474
16,13,0.685845673084259
16,13,0.6484857797622681
16,13,0.6282813549041748
24,12,0.6379703283309937
24,12,0.6312731504440308
24,12,0.6529209613800049
24,13,0.6821452379226685
24,12,0.6586897373199463
24,12,0.7385663986206055
24,12,0.6442700028419495
24,12,0.643701434135437
32,12,0.6927053332328796
32,12,0.6346849799156189
32,12,0.6892661452293396
32,12,0.653811514377594
32,12,0.6799501776695251
32,12,0.7279815673828125
32,12,0.6486080288887024
32,12,0.6806908845901489
48,12,0.7087779641151428
48,12,0.6868422627449036
48,12,0.6892082691192627
48,12,0.689158022403717
48,12,0.7062087059020996
48,12,0.7078379988670349
48,12,0.7025251388549805
48,11,0.7005148530006409
