n_ops,winding,steps_settle
4,0.6302476525306702,12
4,0.623104989528656,12
4,0.6328331828117371,13
4,0.6155312657356262,12
4,0.6707776784896851,12
4,0.6302477121353149,12
4,0.6607897281646729,12
4,0.6031427383422852,12
4,0.6607894897460938,12
4,0.5932230353355408,12
8,0.6096974015235901,13
8,0.6104083061218262,14
8,0.6237910389900208,13
8,0.6316746473312378,13
8,0.6152222156524658,14
8,0.6086081266403198,13
8,0.6111133694648743,14
8,0.5732972025871277,13
8,0.6031041741371155,13
8,0.6050153374671936,13
16,0.6272194981575012,13
16,0.6331963539123535,14
16,0.6315686106681824,15
16,0.641045868396759,14
16,0.64598548412323,15
16,0.6460174918174744,13
16,0.647750973701477,14
16,0.6650246977806091,13
16,0.6320978403091431,15
16,0.6398316025733948,12
24,0.6086849570274353,13
24,0.6339932680130005,14
24,0.6207914352416992,14
24,0.6134471893310547,14
24,0.6363720893859863,13
24,0.608206570148468,13
24,0.6332082152366638,13
24,0.6146278977394104,13
24,0.6195157766342163,14
24,0.5976952910423279,12
32,0.6292860507965088,13
32,0.6388533711433411,14
32,0.6317631602287292,13
32,0.6352124810218811,14
32,0.6402174234390259,14
32,0.6213542222976685,13
32,0.631190836429596,14
32,0.611689567565918,13
32,0.6237389445304871,14
32,0.6383436918258667,13
48,0.6363823413848877,15
48,0.6376662850379944,14
48,0.6187158823013306,13
48,0.6324218511581421,14
48,0.6459811925888062,15
48,0.6421610116958618,15
48,0.6248533725738525,15
48,0.6254541277885437,14
48,0.6264974474906921,15
48,0.6258655786514282,15
